SaleId,Country,Category,Product,Qty,Price,Amount
1000,Germany,Smart Phone,Galaxy S,1.0,11.62,11.62
1001,Germany,Smart Phone,Moto Edge,4.0,6.56,26.24
1002,Germany,Jeans,Tapered,3.0,6.83,20.49
1003,Germany,Shoes,Sneakers,1.0,11.06,11.06
1004,Germany,Shoes,Sandals,3.0,11.76,35.28
1005,Germany,Smart Phone,Android Pro,3.0,12.45,37.35
1006,Germany,Perfumes,Citrus Splash,5.0,6.23,31.15
1007,Germany,Shoes,Loafers,2.0,8.0,16.0
1008,Germany,Jeans,Regular Fit,2.0,10.98,21.96
1009,Germany,Perfumes,Oud Royale,2.0,11.18,22.36
1010,Germany,Perfumes,Lavender Calm,1.0,9.99,9.99
1011,Germany,TShirts,Full Sleeve,,11.48,
1012,Germany,Water bottles,Sport Bottle,5.0,5.72,28.6
1013,Germany,Perfumes,Ocean Breeze,4.0,11.27,45.08
1014,Germany,Water bottles,Thermo Flask,5.0,9.92,49.6
1015,Germany,Shoes,Sneakers,1.0,7.96,7.96
1016,Germany,Shoes,Sandals,2.0,7.85,15.7
1017,Germany,Water bottles,Steel Flask,4.0,8.89,35.56
1018,Germany,Perfumes,Lavender Calm,5.0,6.4,32.0
1019,Germany,Jeans,Slim Fit,,10.68,
1020,Germany,Perfumes,Lavender Calm,4.0,8.86,35.44
1021,Germany,TShirts,Full Sleeve,3.0,7.63,22.89
1022,Germany,Jeans,Skinny Jeans,3.0,11.99,35.97
1023,Germany,TShirts,Polo Tee,4.0,12.84,51.36
1024,Germany,Water bottles,Sport Bottle,5.0,7.91,39.55
1025,Germany,Water bottles,Plastic Sipper,2.0,7.93,15.86
1026,Germany,Perfumes,Floral Mist,4.0,8.9,35.6
1027,Germany,Jeans,Tapered,3.0,9.89,29.67
1028,Germany,Smart Phone,Android Pro,3.0,8.55,25.65
1029,Germany,Water bottles,Plastic Sipper,3.0,7.85,23.55
1030,Germany,Jeans,Skinny Jeans,2.0,8.68,17.36
1031,Germany,Jeans,Slim Fit,2.0,9.34,18.68
1032,Germany,Water bottles,Plastic Sipper,4.0,8.6,34.4
1033,Germany,Water bottles,Thermo Flask,5.0,10.98,54.9
1034,Germany,Water bottles,Copper Bottle,5.0,6.3,31.5
1035,Germany,Water bottles,Thermo Flask,3.0,10.33,30.99
1036,Germany,Smart Phone,Pixel Max,3.0,7.63,22.89
1037,Germany,TShirts,Full Sleeve,4.0,9.74,38.96
1038,Germany,Shoes,Formal Shoes,2.0,7.24,14.48
1039,Germany,Jeans,Skinny Jeans,4.0,11.1,44.4
1040,Germany,Perfumes,Citrus Splash,4.0,11.39,45.56
1041,Germany,Perfumes,Oud Royale,1.0,12.83,12.83
1042,Germany,Perfumes,Citrus Splash,4.0,7.81,31.24
1043,Germany,Shoes,Sports Shoes,3.0,5.71,17.13
1044,Germany,Water bottles,Glass Bottle,2.0,12.06,24.12
1045,Germany,TShirts,Full Sleeve,5.0,6.05,30.25
1046,Germany,Water bottles,Steel Flask,3.0,9.96,29.88
1047,Germany,Water bottles,Plastic Sipper,3.0,8.55,25.65
1048,Germany,TShirts,Polo Tee,4.0,6.46,25.84
1049,Germany,Perfumes,Amber Spice,5.0,11.27,56.35
1050,Germany,Perfumes,Lavender Calm,2.0,7.22,14.44
1051,Germany,Perfumes,Oud Royale,2.0,11.17,22.34
1052,Germany,Perfumes,Ocean Breeze,5.0,12.84,64.2
1053,Germany,TShirts,V-Neck,1.0,7.98,7.98
1054,Germany,Perfumes,Ocean Breeze,2.0,7.71,15.42
1055,Germany,Water bottles,Copper Bottle,2.0,12.35,24.7
1056,Germany,Water bottles,Thermo Flask,2.0,11.66,23.32
1057,Germany,Perfumes,Amber Spice,1.0,12.17,12.17
1058,Germany,Shoes,Formal Shoes,4.0,7.01,28.04
1059,Germany,Perfumes,Amber Spice,4.0,10.7,42.8
1060,Germany,Perfumes,Floral Mist,1.0,5.58,5.58
1061,Germany,Smart Phone,iSmart X,1.0,11.58,11.58
1062,Germany,Smart Phone,Galaxy S,3.0,12.44,37.32
1063,Germany,Jeans,Tapered,2.0,7.92,15.84
1064,Germany,Perfumes,Ocean Breeze,2.0,6.52,13.04
1065,Germany,Shoes,Loafers,4.0,7.46,29.84
1066,Germany,Shoes,Loafers,2.0,8.85,17.7
1067,Germany,Perfumes,Citrus Splash,5.0,7.1,35.5
1068,Germany,Perfumes,Amber Spice,5.0,8.84,44.2
1069,Germany,Smart Phone,iSmart X,2.0,13.22,26.44
1070,Germany,Smart Phone,Android Pro,5.0,7.21,36.05
1071,Germany,Perfumes,Oud Royale,1.0,11.98,11.98
1072,Germany,Perfumes,Lavender Calm,2.0,8.09,16.18
1073,Germany,TShirts,Polo Tee,3.0,12.75,38.25
1074,Germany,Perfumes,Lavender Calm,1.0,8.19,8.19
1075,Germany,Shoes,Loafers,2.0,10.52,21.04
1076,Germany,Smart Phone,iSmart X,2.0,9.65,19.3
1077,Germany,TShirts,Sleeveless,3.0,7.76,23.28
1078,Germany,Jeans,Skinny Jeans,4.0,5.87,23.48
1079,Germany,Smart Phone,Android Pro,1.0,10.58,10.58
1080,Germany,Smart Phone,OnePlus Neo,5.0,8.82,44.1
1081,Germany,Water bottles,Glass Bottle,5.0,6.3,31.5
1082,Germany,Water bottles,Copper Bottle,5.0,5.75,28.75
1083,Germany,Jeans,Bootcut,5.0,9.9,49.5
1084,Germany,Shoes,Casual Shoes,3.0,12.16,36.48
1085,Germany,Smart Phone,Android Pro,4.0,7.05,28.2
1086,Germany,Water bottles,,5.0,13.37,66.85
1087,Germany,Water bottles,Glass Bottle,4.0,7.78,31.12
