SaleId,Country,Category,Product,Qty,Price,Amount
1000,India,Jeans,Relaxed Fit,4.0,1114.0,4456.0
1001,India,Water bottles,Steel Flask,4.0,788.0,3152.0
1002,India,Jeans,Slim Fit,,670.0,
1003,India,Shoes,Casual Shoes,3.0,972.0,2916.0
1004,India,Smart Phone,Galaxy S,3.0,827.0,2481.0
1005,India,Perfumes,,4.0,1155.0,4620.0
1006,India,Water bottles,Copper Bottle,3.0,1115.0,3345.0
1007,India,Smart Phone,OnePlus Neo,3.0,787.0,2361.0
1008,India,Water bottles,Thermo Flask,2.0,1165.0,2330.0
1009,India,Shoes,Casual Shoes,5.0,542.0,2710.0
1010,India,Perfumes,Oud Royale,4.0,1125.0,4500.0
1011,India,Jeans,Skinny Jeans,1.0,703.0,703.0
1012,India,TShirts,Round Neck,5.0,515.0,2575.0
1013,India,Shoes,Sports Shoes,4.0,942.0,3768.0
1014,India,Shoes,Casual Shoes,1.0,797.0,797.0
1015,India,TShirts,Polo Tee,5.0,649.0,3245.0
1016,India,Shoes,Loafers,2.0,960.0,1920.0
1017,India,Perfumes,Oud Royale,2.0,797.0,1594.0
1018,India,Jeans,Regular Fit,2.0,886.0,1772.0
1019,India,Water bottles,Thermo Flask,5.0,1142.0,5710.0
1020,India,Water bottles,Copper Bottle,5.0,798.0,3990.0
1021,India,Water bottles,Steel Flask,2.0,1080.0,2160.0
1022,India,TShirts,Round Neck,2.0,513.0,1026.0
1023,India,Jeans,Relaxed Fit,5.0,561.0,2805.0
1024,India,Jeans,Regular Fit,5.0,559.0,2795.0
1025,India,Smart Phone,OnePlus Neo,1.0,968.0,968.0
1026,India,Smart Phone,Android Pro,1.0,728.0,728.0
1027,India,Smart Phone,iSmart X,5.0,503.0,2515.0
1028,India,Water bottles,Glass Bottle,5.0,750.0,3750.0
1029,India,Perfumes,Oud Royale,4.0,1194.0,4776.0
1030,India,Water bottles,,3.0,597.0,1791.0
1031,India,Water bottles,Thermo Flask,2.0,1068.0,2136.0
1032,India,Shoes,Formal Shoes,2.0,889.0,1778.0
1033,India,Perfumes,Ocean Breeze,4.0,553.0,2212.0
1034,India,TShirts,Full Sleeve,5.0,862.0,4310.0
1035,India,TShirts,Polo Tee,5.0,1132.0,5660.0
1036,India,Jeans,Bootcut,3.0,819.0,2457.0
1037,India,TShirts,Round Neck,2.0,910.0,1820.0
1038,India,Perfumes,Amber Spice,3.0,1092.0,3276.0
1039,India,Jeans,Skinny Jeans,4.0,1042.0,4168.0
1040,India,Shoes,Formal Shoes,2.0,763.0,1526.0
1041,India,Perfumes,Oud Royale,5.0,712.0,3560.0
1042,India,TShirts,Printed Tee,1.0,768.0,768.0
1043,India,TShirts,Sleeveless,4.0,1090.0,4360.0
1044,India,Water bottles,Plastic Sipper,2.0,991.0,1982.0
1045,India,Water bottles,Thermo Flask,5.0,885.0,4425.0
1046,India,Perfumes,Amber Spice,4.0,652.0,2608.0
