SaleId,Country,Category,Product,Qty,Price,Amount
1000,Japan,Water bottles,Steel Flask,3.0,1721.31,5163.93
1001,Japan,Shoes,Sneakers,3.0,1714.75,5144.25
1002,Japan,Shoes,,5.0,1195.08,5975.4
1003,Japan,Perfumes,Amber Spice,4.0,1122.95,4491.8
1004,Japan,Water bottles,Glass Bottle,1.0,1791.8,1791.8
1005,Japan,Perfumes,,5.0,1311.48,6557.4
1006,Japan,Smart Phone,iSmart X,5.0,1598.36,7991.8
1007,Japan,Shoes,Sports Shoes,4.0,1272.13,5088.52
1008,Japan,Jeans,Relaxed Fit,4.0,1560.66,6242.64
1009,Japan,Jeans,Regular Fit,5.0,1857.38,9286.9
1010,Japan,Water bottles,Thermo Flask,1.0,1103.28,1103.28
1011,Japan,Shoes,Casual Shoes,2.0,1621.31,3242.62
1012,Japan,Perfumes,Ocean Breeze,4.0,1098.36,4393.44
1013,Japan,Water bottles,Glass Bottle,3.0,1618.03,4854.09
1014,Japan,Jeans,Slim Fit,1.0,1568.85,1568.85
1015,Japan,Jeans,Relaxed Fit,3.0,932.79,2798.37
1016,Japan,Shoes,Loafers,2.0,1754.1,3508.2
1017,Japan,Jeans,,3.0,1621.31,4863.93
1018,Japan,Jeans,Regular Fit,5.0,1809.84,9049.2
1019,Japan,TShirts,Sleeveless,5.0,1873.77,9368.85
1020,Japan,Perfumes,Ocean Breeze,4.0,895.08,3580.32
1021,Japan,TShirts,Polo Tee,4.0,939.34,3757.36
1022,Japan,Water bottles,Steel Flask,5.0,1629.51,8147.55
1023,Japan,TShirts,Sleeveless,1.0,1408.2,1408.2
1024,Japan,Jeans,Regular Fit,4.0,1700.0,6800.0
1025,Japan,Jeans,Slim Fit,2.0,1640.98,3281.96
1026,Japan,Shoes,Sports Shoes,3.0,1219.67,3659.01
1027,Japan,Shoes,Formal Shoes,1.0,885.25,885.25
1028,Japan,Water bottles,Copper Bottle,4.0,1560.66,6242.64
1029,Japan,Shoes,Loafers,5.0,1314.75,6573.75
1030,Japan,Jeans,Slim Fit,4.0,1027.87,4111.48
1031,Japan,TShirts,Sleeveless,2.0,1377.05,2754.1
1032,Japan,Shoes,Casual Shoes,1.0,1750.82,1750.82
1033,Japan,Smart Phone,,3.0,1757.38,5272.14
1034,Japan,Perfumes,Ocean Breeze,5.0,844.26,4221.3
1035,Japan,Smart Phone,Galaxy S,3.0,1367.21,4101.63
1036,Japan,Perfumes,Ocean Breeze,1.0,1249.18,1249.18
1037,Japan,Smart Phone,Android Pro,3.0,1704.92,5114.76
1038,Japan,Water bottles,Plastic Sipper,4.0,1042.62,4170.48
1039,Japan,Shoes,Sandals,3.0,1162.3,3486.9
1040,Japan,Smart Phone,Moto Edge,3.0,1454.1,4362.3
1041,Japan,Shoes,Formal Shoes,,870.49,
1042,Japan,TShirts,Polo Tee,3.0,1578.69,4736.07
1043,Japan,Smart Phone,Pixel Max,,873.77,
1044,Japan,Water bottles,Copper Bottle,2.0,1742.62,3485.24
1045,Japan,Jeans,Slim Fit,5.0,1632.79,8163.95
1046,Japan,Water bottles,Thermo Flask,1.0,1963.93,1963.93
1047,Japan,Jeans,Skinny Jeans,,875.41,
1048,Japan,Smart Phone,OnePlus Neo,1.0,890.16,890.16
1049,Japan,Water bottles,Plastic Sipper,2.0,908.2,1816.4
1050,Japan,Shoes,Sports Shoes,1.0,1840.98,1840.98
1051,Japan,Smart Phone,,2.0,1745.9,3491.8
1052,Japan,Jeans,Tapered,2.0,1654.1,3308.2
1053,Japan,Perfumes,Ocean Breeze,5.0,1893.44,9467.2
1054,Japan,Jeans,Slim Fit,2.0,1181.97,2363.94
1055,Japan,Jeans,Relaxed Fit,4.0,983.61,3934.44
1056,Japan,Shoes,Loafers,5.0,822.95,4114.75
1057,Japan,Water bottles,Glass Bottle,5.0,1201.64,6008.2
1058,Japan,Jeans,Skinny Jeans,1.0,1334.43,1334.43
1059,Japan,TShirts,Polo Tee,5.0,1063.93,5319.65
1060,Japan,Shoes,Loafers,3.0,1013.11,3039.33
1061,Japan,TShirts,Polo Tee,5.0,1067.21,5336.05
1062,Japan,Jeans,Tapered,4.0,1590.16,6360.64
1063,Japan,Perfumes,Amber Spice,5.0,1529.51,7647.55
1064,Japan,Perfumes,Floral Mist,3.0,1465.57,4396.71
1065,Japan,Shoes,Formal Shoes,2.0,1762.3,3524.6
1066,Japan,Water bottles,Sport Bottle,,1452.46,
1067,Japan,TShirts,Round Neck,3.0,1478.69,4436.07
1068,Japan,Shoes,Sandals,2.0,1440.98,2881.96
1069,Japan,Shoes,Sports Shoes,5.0,1262.3,6311.5
1070,Japan,Perfumes,Oud Royale,4.0,1208.2,4832.8
1071,Japan,Shoes,Sports Shoes,1.0,1386.89,1386.89
1072,Japan,Jeans,Relaxed Fit,2.0,1840.98,3681.96
1073,Japan,Shoes,Sandals,2.0,1737.7,3475.4
1074,Japan,Smart Phone,OnePlus Neo,3.0,1442.62,4327.86
1075,Japan,Shoes,Sandals,3.0,1168.85,3506.55
1076,Japan,Jeans,Tapered,1.0,1373.77,1373.77
1077,Japan,Water bottles,Thermo Flask,2.0,1193.44,2386.88
1078,Japan,Shoes,Loafers,2.0,1585.25,3170.5
1079,Japan,Jeans,Regular Fit,1.0,1024.59,1024.59
1080,Japan,Shoes,Casual Shoes,2.0,1155.74,2311.48
1081,Japan,TShirts,Printed Tee,1.0,1349.18,1349.18
1082,Japan,TShirts,Polo Tee,2.0,1577.05,3154.1
1083,Japan,TShirts,Printed Tee,3.0,998.36,2995.08
1084,Japan,Smart Phone,Moto Edge,5.0,1700.0,8500.0
1085,Japan,Shoes,Sneakers,3.0,1781.97,5345.91
1086,Japan,TShirts,Printed Tee,5.0,1326.23,6631.15
1087,Japan,Perfumes,Amber Spice,2.0,1452.46,2904.92
1088,Japan,Perfumes,Ocean Breeze,2.0,1473.77,2947.54
1089,Japan,Perfumes,Citrus Splash,4.0,1201.64,4806.56
1090,Japan,Smart Phone,Pixel Max,3.0,1706.56,5119.68
1091,Japan,Smart Phone,Moto Edge,3.0,1727.87,5183.61
1092,Japan,Perfumes,Ocean Breeze,1.0,1016.39,1016.39
1093,Japan,Jeans,Regular Fit,1.0,1449.18,1449.18
1094,Japan,Water bottles,Sport Bottle,2.0,1557.38,3114.76
1095,Japan,Shoes,Casual Shoes,4.0,906.56,3626.24
1096,Japan,Perfumes,Ocean Breeze,4.0,1280.33,5121.32
1097,Japan,Shoes,Formal Shoes,3.0,1419.67,4259.01
1098,Japan,TShirts,Polo Tee,5.0,847.54,4237.7
1099,Japan,Shoes,Formal Shoes,3.0,1601.64,4804.92
1100,Japan,Jeans,Relaxed Fit,3.0,929.51,2788.53
1101,Japan,Perfumes,Amber Spice,5.0,1172.13,5860.65
1102,Japan,Jeans,Relaxed Fit,,1160.66,
1103,Japan,Smart Phone,iSmart X,3.0,1109.84,3329.52
1104,Japan,Shoes,Sandals,3.0,1129.51,3388.53
1105,Japan,Jeans,Regular Fit,1.0,1344.26,1344.26
1106,Japan,TShirts,Round Neck,2.0,952.46,1904.92
1107,Japan,Perfumes,Amber Spice,5.0,1559.02,7795.1
1108,Japan,Jeans,Regular Fit,1.0,1449.18,1449.18
1109,Japan,Smart Phone,Pixel Max,5.0,1814.75,9073.75
1110,Japan,Shoes,Casual Shoes,4.0,862.3,3449.2
1111,Japan,Water bottles,Thermo Flask,2.0,1475.41,2950.82
1112,Japan,Perfumes,Citrus Splash,3.0,1681.97,5045.91
