SaleId,Country,Category,Product,Qty,Price,Amount
1000,Norway,Jeans,Regular Fit,5.0,138.79,693.95
1001,Norway,Smart Phone,Galaxy S,4.0,79.97,319.88
1002,Norway,Perfumes,Citrus Splash,4.0,105.92,423.68
1003,Norway,Perfumes,Lavender Calm,3.0,94.21,282.63
1004,Norway,Perfumes,Lavender Calm,3.0,74.69,224.07
1005,Norway,Smart Phone,Galaxy S,3.0,103.9,311.7
1006,Norway,Smart Phone,Android Pro,3.0,83.0,249.0
1007,Norway,Smart Phone,Moto Edge,5.0,69.65,348.25
1008,Norway,Water bottles,Steel Flask,4.0,131.61,526.44
1009,Norway,Shoes,Sandals,1.0,63.98,63.98
1010,Norway,Perfumes,Lavender Calm,1.0,69.4,69.4
1011,Norway,Jeans,Bootcut,4.0,123.05,492.2
1012,Norway,Water bottles,Steel Flask,3.0,113.35,340.05
1013,Norway,Shoes,Sports Shoes,4.0,142.19,568.76
1014,Norway,Water bottles,Copper Bottle,5.0,138.92,694.6
1015,Norway,Shoes,Formal Shoes,3.0,99.24,297.72
1016,Norway,Perfumes,Amber Spice,1.0,123.93,123.93
1017,Norway,Perfumes,Amber Spice,,91.44,
1018,Norway,Shoes,Formal Shoes,5.0,113.48,567.4
1019,Norway,Smart Phone,iSmart X,1.0,82.12,82.12
1020,Norway,Water bottles,Glass Bottle,1.0,119.4,119.4
1021,Norway,TShirts,V-Neck,3.0,114.86,344.58
1022,Norway,Jeans,Slim Fit,1.0,142.7,142.7
1023,Norway,Smart Phone,Galaxy S,2.0,94.08,188.16
1024,Norway,Jeans,Slim Fit,2.0,121.41,242.82
1025,Norway,Perfumes,Oud Royale,1.0,113.22,113.22
1026,Norway,Jeans,Slim Fit,2.0,136.15,272.3
1027,Norway,Smart Phone,iSmart X,3.0,67.13,201.39
1028,Norway,Water bottles,Sport Bottle,3.0,71.41,214.23
1029,Norway,Perfumes,Lavender Calm,4.0,112.47,449.88
1030,Norway,TShirts,Polo Tee,2.0,123.8,247.6
1031,Norway,Shoes,Casual Shoes,2.0,105.79,211.58
1032,Norway,Shoes,Formal Shoes,2.0,106.55,213.1
1033,Norway,Perfumes,Floral Mist,4.0,140.55,562.2
1034,Norway,TShirts,Printed Tee,2.0,71.91,143.82
1035,Norway,Water bottles,Plastic Sipper,2.0,72.67,145.34
1036,Norway,Perfumes,Amber Spice,4.0,103.78,415.12
1037,Norway,Water bottles,Copper Bottle,2.0,133.12,266.24
1038,Norway,TShirts,Polo Tee,4.0,75.69,302.76
1039,Norway,Jeans,Bootcut,4.0,104.53,418.12
1040,Norway,Shoes,Sneakers,1.0,83.63,83.63
1041,Norway,Jeans,Tapered,4.0,90.3,361.2
1042,Norway,Jeans,Slim Fit,2.0,85.26,170.52
1043,Norway,Smart Phone,Android Pro,5.0,63.73,318.65
1044,Norway,Perfumes,Floral Mist,4.0,86.4,345.6
1045,Norway,Smart Phone,Pixel Max,3.0,145.97,437.91
1046,Norway,Perfumes,Citrus Splash,4.0,111.84,447.36
1047,Norway,Jeans,Tapered,3.0,130.1,390.3
1048,Norway,Shoes,Sneakers,3.0,129.85,389.55
1049,Norway,Perfumes,Amber Spice,5.0,75.82,379.1
1050,Norway,Water bottles,Glass Bottle,3.0,98.61,295.83
1051,Norway,Perfumes,Amber Spice,2.0,106.93,213.86
1052,Norway,Shoes,Loafers,4.0,100.5,402.0
1053,Norway,Jeans,Regular Fit,1.0,89.67,89.67
