SaleId,Country,Category,Product,Qty,Price,Amount
1000,Oman,Shoes,Formal Shoes,5.0,3.29,16.45
1001,Oman,Jeans,,1.0,4.28,4.28
1002,Oman,TShirts,Full Sleeve,,2.96,
1003,Oman,Water bottles,,5.0,3.32,16.6
1004,Oman,Perfumes,Citrus Splash,3.0,3.67,11.01
1005,Oman,Perfumes,Ocean Breeze,4.0,3.06,12.24
1006,Oman,TShirts,Full Sleeve,5.0,5.54,27.7
1007,Oman,Water bottles,Glass Bottle,1.0,3.95,3.95
1008,Oman,Shoes,Sneakers,1.0,4.43,4.43
1009,Oman,Smart Phone,Galaxy S,2.0,3.15,6.3
1010,Oman,Water bottles,Copper Bottle,2.0,5.54,11.08
1011,Oman,Perfumes,Citrus Splash,1.0,5.03,5.03
1012,Oman,Shoes,Sneakers,4.0,3.85,15.4
1013,Oman,Perfumes,Citrus Splash,3.0,3.42,10.26
1014,Oman,Perfumes,Oud Royale,2.0,3.34,6.68
1015,Oman,Shoes,Loafers,,2.96,
1016,Oman,Smart Phone,Pixel Max,4.0,3.72,14.88
1017,Oman,Jeans,Relaxed Fit,1.0,4.4,4.4
1018,Oman,Perfumes,Lavender Calm,5.0,2.46,12.3
1019,Oman,Smart Phone,Pixel Max,1.0,5.31,5.31
1020,Oman,Water bottles,Thermo Flask,2.0,5.14,10.28
1021,Oman,Water bottles,Glass Bottle,5.0,4.07,20.35
1022,Oman,TShirts,Full Sleeve,2.0,4.85,9.7
1023,Oman,Smart Phone,Galaxy S,1.0,4.07,4.07
1024,Oman,Water bottles,Glass Bottle,1.0,4.85,4.85
1025,Oman,Water bottles,Thermo Flask,4.0,3.09,12.36
1026,Oman,Shoes,Sneakers,2.0,3.77,7.54
1027,Oman,Jeans,Tapered,2.0,4.32,8.64
1028,Oman,TShirts,Round Neck,3.0,2.35,7.05
1029,Oman,TShirts,Full Sleeve,2.0,4.09,8.18
1030,Oman,Shoes,Sandals,4.0,2.87,11.48
1031,Oman,Perfumes,Ocean Breeze,3.0,3.62,10.86
1032,Oman,Water bottles,Glass Bottle,3.0,2.55,7.65
1033,Oman,TShirts,Sleeveless,3.0,3.33,9.99
