SaleId,Country,Category,Product,Qty,Price,Amount,Sale_Date
1,Germany,Smart Phone,Galaxy S,1.0,11.62,11.62,2025-03-29
2,Germany,Smart Phone,Moto Edge,4.0,6.56,26.24,2024-06-18
3,Germany,Jeans,Tapered,3.0,6.83,20.49,2025-02-28
4,Germany,Shoes,Sneakers,1.0,11.06,11.06,2024-09-01
5,Germany,Shoes,Sandals,3.0,11.76,35.28,2024-12-30
6,Germany,Smart Phone,Android Pro,3.0,12.45,37.35,2024-10-12
7,Germany,Perfumes,Citrus Splash,5.0,6.23,31.15,2024-09-04
8,Germany,Shoes,Loafers,2.0,8.0,16.0,2025-03-25
9,Germany,Jeans,Regular Fit,2.0,10.98,21.96,2025-01-23
10,Germany,Perfumes,Oud Royale,2.0,11.18,22.36,2025-01-13
11,Germany,Perfumes,Lavender Calm,1.0,9.99,9.99,2024-08-03
12,Germany,TShirts,Full Sleeve,,11.48,,2024-12-13
13,Germany,Water bottles,Sport Bottle,5.0,5.72,28.6,2025-03-15
14,Germany,Perfumes,Ocean Breeze,4.0,11.27,45.08,2024-07-31
15,Germany,Water bottles,Thermo Flask,5.0,9.92,49.6,2025-04-17
16,Germany,Shoes,Sneakers,1.0,7.96,7.96,2024-08-18
17,Germany,Shoes,Sandals,2.0,7.85,15.7,2024-08-17
18,Germany,Water bottles,Steel Flask,4.0,8.89,35.56,2024-10-04
19,Germany,Perfumes,Lavender Calm,5.0,6.4,32.0,2025-04-08
20,Germany,Jeans,Slim Fit,,10.68,,2024-12-30
21,Germany,Perfumes,Lavender Calm,4.0,8.86,35.44,2025-03-12
22,Germany,TShirts,Full Sleeve,3.0,7.63,22.89,2025-04-13
23,Germany,Jeans,Skinny Jeans,3.0,11.99,35.97,2025-01-22
24,Germany,TShirts,Polo Tee,4.0,12.84,51.36,2025-03-01
25,Germany,Water bottles,Sport Bottle,5.0,7.91,39.55,2025-05-11
26,Germany,Water bottles,Plastic Sipper,2.0,7.93,15.86,2024-08-28
27,Germany,Perfumes,Floral Mist,4.0,8.9,35.6,2024-11-07
28,Germany,Jeans,Tapered,3.0,9.89,29.67,2024-07-13
29,Germany,Smart Phone,Android Pro,3.0,8.55,25.65,2024-11-10
30,Germany,Water bottles,Plastic Sipper,3.0,7.85,23.55,2024-05-28
31,Germany,Jeans,Skinny Jeans,2.0,8.68,17.36,2024-12-01
32,Germany,Jeans,Slim Fit,2.0,9.34,18.68,2024-07-14
33,Germany,Water bottles,Plastic Sipper,4.0,8.6,34.4,2024-12-04
34,Germany,Water bottles,Thermo Flask,5.0,10.98,54.9,2025-01-28
35,Germany,Water bottles,Copper Bottle,5.0,6.3,31.5,2025-01-21
36,Germany,Water bottles,Thermo Flask,3.0,10.33,30.99,2025-05-19
37,Germany,Smart Phone,Pixel Max,3.0,7.63,22.89,2024-12-08
38,Germany,TShirts,Full Sleeve,4.0,9.74,38.96,2024-07-05
39,Germany,Shoes,Formal Shoes,2.0,7.24,14.48,2024-07-05
40,Germany,Jeans,Skinny Jeans,4.0,11.1,44.4,2024-08-02
41,Germany,Perfumes,Citrus Splash,4.0,11.39,45.56,2024-09-23
42,Germany,Perfumes,Oud Royale,1.0,12.83,12.83,2025-01-05
43,Germany,Perfumes,Citrus Splash,4.0,7.81,31.24,2025-02-03
44,Germany,Shoes,Sports Shoes,3.0,5.71,17.13,2024-07-17
45,Germany,Water bottles,Glass Bottle,2.0,12.06,24.12,2025-05-04
46,Germany,TShirts,Full Sleeve,5.0,6.05,30.25,2025-03-09
47,Germany,Water bottles,Steel Flask,3.0,9.96,29.88,2025-03-24
48,Germany,Water bottles,Plastic Sipper,3.0,8.55,25.65,2024-05-30
49,Germany,TShirts,Polo Tee,4.0,6.46,25.84,2024-05-30
50,Germany,Perfumes,Amber Spice,5.0,11.27,56.35,2024-09-02
51,Germany,Perfumes,Lavender Calm,2.0,7.22,14.44,2025-04-24
52,Germany,Perfumes,Oud Royale,2.0,11.17,22.34,2025-02-23
53,Germany,Perfumes,Ocean Breeze,5.0,12.84,64.2,2024-12-04
54,Germany,TShirts,V-Neck,1.0,7.98,7.98,2025-05-18
55,Germany,Perfumes,Ocean Breeze,2.0,7.71,15.42,2024-08-13
56,Germany,Water bottles,Copper Bottle,2.0,12.35,24.7,2024-07-30
57,Germany,Water bottles,Thermo Flask,2.0,11.66,23.32,2024-09-09
58,Germany,Perfumes,Amber Spice,1.0,12.17,12.17,2024-10-20
59,Germany,Shoes,Formal Shoes,4.0,7.01,28.04,2025-02-03
60,Germany,Perfumes,Amber Spice,4.0,10.7,42.8,2024-10-29
61,Germany,Perfumes,Floral Mist,1.0,5.58,5.58,2024-05-29
62,Germany,Smart Phone,iSmart X,1.0,11.58,11.58,2025-01-18
63,Germany,Smart Phone,Galaxy S,3.0,12.44,37.32,2024-11-17
64,Germany,Jeans,Tapered,2.0,7.92,15.84,2025-04-20
65,Germany,Perfumes,Ocean Breeze,2.0,6.52,13.04,2024-10-19
66,Germany,Shoes,Loafers,4.0,7.46,29.84,2024-09-12
67,Germany,Shoes,Loafers,2.0,8.85,17.7,2024-06-25
68,Germany,Perfumes,Citrus Splash,5.0,7.1,35.5,2025-02-18
69,Germany,Perfumes,Amber Spice,5.0,8.84,44.2,2025-02-18
70,Germany,Smart Phone,iSmart X,2.0,13.22,26.44,2025-04-05
71,Germany,Smart Phone,Android Pro,5.0,7.21,36.05,2024-08-17
72,Germany,Perfumes,Oud Royale,1.0,11.98,11.98,2025-01-28
73,Germany,Perfumes,Lavender Calm,2.0,8.09,16.18,2025-04-29
74,Germany,TShirts,Polo Tee,3.0,12.75,38.25,2025-02-13
75,Germany,Perfumes,Lavender Calm,1.0,8.19,8.19,2024-05-29
76,Germany,Shoes,Loafers,2.0,10.52,21.04,2024-08-09
77,Germany,Smart Phone,iSmart X,2.0,9.65,19.3,2024-08-02
78,Germany,TShirts,Sleeveless,3.0,7.76,23.28,2025-01-07
79,Germany,Jeans,Skinny Jeans,4.0,5.87,23.48,2024-08-27
80,Germany,Smart Phone,Android Pro,1.0,10.58,10.58,2024-09-08
81,Germany,Smart Phone,OnePlus Neo,5.0,8.82,44.1,2024-11-30
82,Germany,Water bottles,Glass Bottle,5.0,6.3,31.5,2024-06-16
83,Germany,Water bottles,Copper Bottle,5.0,5.75,28.75,2024-11-20
84,Germany,Jeans,Bootcut,5.0,9.9,49.5,2024-09-29
85,Germany,Shoes,Casual Shoes,3.0,12.16,36.48,2025-05-20
86,Germany,Smart Phone,Android Pro,4.0,7.05,28.2,2024-07-18
87,Germany,Water bottles,,5.0,13.37,66.85,2025-01-20
88,Germany,Water bottles,Glass Bottle,4.0,7.78,31.12,2024-08-31
89,Germany,Jeans,Tapered,2.0,8.95,17.9,2024-06-05
90,Germany,Shoes,Sports Shoes,5.0,10.31,51.55,2025-01-30
91,Germany,Smart Phone,Pixel Max,4.0,7.18,28.72,2024-06-06
92,Germany,Water bottles,Steel Flask,4.0,13.04,52.16,2025-04-10
93,Germany,Shoes,Casual Shoes,5.0,11.88,59.4,2025-04-10
94,Germany,Jeans,Slim Fit,2.0,10.49,20.98,2025-01-27
95,Germany,Jeans,Bootcut,4.0,8.28,33.12,2025-01-27
96,Germany,Shoes,Sports Shoes,,10.43,,2024-11-07
97,Germany,Water bottles,Copper Bottle,4.0,13.34,53.36,2025-03-01
98,Germany,Shoes,Loafers,,9.39,,2024-05-27
99,Germany,TShirts,V-Neck,5.0,7.87,39.35,2024-07-02
100,Germany,Jeans,Skinny Jeans,1.0,12.58,12.58,2024-05-23
101,Germany,Shoes,,2.0,11.01,22.02,2024-08-07
102,Germany,TShirts,V-Neck,5.0,7.37,36.85,2025-02-09
103,Germany,Shoes,Loafers,4.0,10.29,41.16,2024-06-03
104,Germany,Shoes,Formal Shoes,2.0,12.86,25.72,2024-06-05
105,Germany,Smart Phone,Android Pro,2.0,12.58,25.16,2025-05-14
106,Germany,Smart Phone,OnePlus Neo,1.0,7.62,7.62,2024-12-24
107,Germany,TShirts,Polo Tee,5.0,9.27,46.35,2025-05-19
108,Germany,Shoes,Casual Shoes,1.0,6.64,6.64,2024-09-30
109,Germany,TShirts,Round Neck,3.0,9.44,28.32,2024-08-06
110,Germany,Smart Phone,Android Pro,1.0,11.62,11.62,2024-12-12
111,Germany,Water bottles,Sport Bottle,4.0,8.5,34.0,2025-02-19
112,Germany,Perfumes,Floral Mist,5.0,9.52,47.6,2024-06-09
113,Germany,Water bottles,Glass Bottle,2.0,9.14,18.28,2025-05-07
114,Germany,Water bottles,Glass Bottle,4.0,12.18,48.72,2025-03-07
115,Germany,Smart Phone,Moto Edge,5.0,11.41,57.05,2024-08-30
116,Germany,Shoes,Formal Shoes,3.0,7.72,23.16,2025-03-14
117,Germany,Smart Phone,,3.0,8.35,25.05,2024-08-03
118,Germany,Jeans,Regular Fit,4.0,11.16,44.64,2025-03-31
119,Germany,Jeans,Slim Fit,2.0,6.85,13.7,2024-09-26
120,Germany,TShirts,Sleeveless,5.0,11.37,56.85,2025-03-03
121,Germany,Jeans,,2.0,7.23,14.46,2024-08-15
122,Germany,Jeans,Bootcut,2.0,6.13,12.26,2024-11-28
123,Germany,Water bottles,Copper Bottle,4.0,6.47,25.88,2024-08-12
124,Germany,Jeans,Regular Fit,5.0,12.78,63.9,2024-11-30
125,Germany,TShirts,V-Neck,3.0,8.66,25.98,2025-03-30
126,Germany,Water bottles,Thermo Flask,1.0,6.94,6.94,2025-03-04
127,Germany,Shoes,Sneakers,2.0,10.69,21.38,2024-08-18
128,Germany,TShirts,Polo Tee,3.0,9.55,28.65,2025-01-21
129,Germany,Smart Phone,Galaxy S,4.0,9.52,38.08,2024-06-25
130,Germany,Jeans,Tapered,2.0,11.47,22.94,2025-04-17
131,Germany,Perfumes,Lavender Calm,1.0,8.93,8.93,2024-06-01
132,Germany,Jeans,Relaxed Fit,3.0,12.34,37.02,2025-01-05
133,Germany,Smart Phone,Moto Edge,4.0,6.91,27.64,2024-07-28
134,Germany,TShirts,Full Sleeve,3.0,10.34,31.02,2025-04-27
135,Germany,Smart Phone,Android Pro,5.0,8.76,43.8,2024-09-13
136,Germany,TShirts,Polo Tee,3.0,8.43,25.29,2025-05-21
137,Germany,Perfumes,Oud Royale,5.0,12.08,60.4,2024-11-01
138,Germany,Jeans,Regular Fit,3.0,8.82,26.46,2024-07-27
139,Germany,Smart Phone,iSmart X,1.0,8.59,8.59,2025-05-15
140,Germany,Smart Phone,Galaxy S,2.0,12.62,25.24,2025-05-11
141,Germany,Water bottles,,2.0,10.96,21.92,2024-06-04
142,Germany,Water bottles,Glass Bottle,5.0,5.95,29.75,2024-06-11
143,Germany,Jeans,Bootcut,4.0,12.13,48.52,2024-08-06
144,Germany,Water bottles,Sport Bottle,3.0,11.43,34.29,2024-12-05
145,Germany,TShirts,Sleeveless,2.0,10.73,21.46,2025-05-08
