SaleId,Country,Category,Product,Qty,Price,Amount,Sale_Date
1,India,Jeans,Relaxed Fit,4,1114.0,4456.0,2024-10-27
2,India,Water bottles,Steel Flask,4,788.0,3152.0,2024-12-07
3,India,Shoes,Casual Shoes,3,972.0,2916.0,2024-10-01
4,India,Smart Phone,Galaxy S,3,827.0,2481.0,2025-03-01
5,India,Perfumes,,4,1155.0,4620.0,2024-06-30
6,India,Water bottles,Copper Bottle,3,1115.0,3345.0,2024-12-27
7,India,Smart Phone,OnePlus Neo,3,787.0,2361.0,2024-06-27
8,India,Water bottles,Thermo Flask,2,1165.0,2330.0,2025-01-21
9,India,Shoes,Casual Shoes,5,542.0,2710.0,2024-12-14
10,India,Perfumes,Oud Royale,4,1125.0,4500.0,2025-02-13
11,India,Jeans,Skinny Jeans,1,703.0,703.0,2024-11-28
12,India,TShirts,Round Neck,5,515.0,2575.0,2024-07-26
13,India,Shoes,Sports Shoes,4,942.0,3768.0,2024-08-15
14,India,Shoes,Casual Shoes,1,797.0,797.0,2025-04-04
15,India,TShirts,Polo Tee,5,649.0,3245.0,2024-06-21
16,India,Shoes,Loafers,2,960.0,1920.0,2025-02-09
17,India,Perfumes,Oud Royale,2,797.0,1594.0,2024-12-06
18,India,Jeans,Regular Fit,2,886.0,1772.0,2024-10-05
19,India,Water bottles,Thermo Flask,5,1142.0,5710.0,2025-05-16
20,India,Water bottles,Copper Bottle,5,798.0,3990.0,2024-06-29
21,India,Water bottles,Steel Flask,2,1080.0,2160.0,2024-12-17
22,India,TShirts,Round Neck,2,513.0,1026.0,2024-09-05
23,India,Jeans,Relaxed Fit,5,561.0,2805.0,2024-07-17
24,India,Jeans,Regular Fit,5,559.0,2795.0,2025-03-12
25,India,Smart Phone,OnePlus Neo,1,968.0,968.0,2024-09-23
26,India,Smart Phone,Android Pro,1,728.0,728.0,2024-12-30
27,India,Smart Phone,iSmart X,5,503.0,2515.0,2024-09-20
28,India,Water bottles,Glass Bottle,5,750.0,3750.0,2025-03-12
29,India,Perfumes,Oud Royale,4,1194.0,4776.0,2024-12-18
30,India,Water bottles,,3,597.0,1791.0,2025-02-04
31,India,Water bottles,Thermo Flask,2,1068.0,2136.0,2024-08-07
32,India,Shoes,Formal Shoes,2,889.0,1778.0,2025-02-10
33,India,Perfumes,Ocean Breeze,4,553.0,2212.0,2025-03-10
34,India,TShirts,Full Sleeve,5,862.0,4310.0,2024-11-18
35,India,TShirts,Polo Tee,5,1132.0,5660.0,2024-08-23
36,India,Jeans,Bootcut,3,819.0,2457.0,2024-08-29
37,India,TShirts,Round Neck,2,910.0,1820.0,2024-09-05
38,India,Perfumes,Amber Spice,3,1092.0,3276.0,2024-11-12
39,India,Jeans,Skinny Jeans,4,1042.0,4168.0,2024-05-27
40,India,Shoes,Formal Shoes,2,763.0,1526.0,2024-08-18
41,India,Perfumes,Oud Royale,5,712.0,3560.0,2025-02-27
42,India,TShirts,Printed Tee,1,768.0,768.0,2024-07-16
43,India,TShirts,Sleeveless,4,1090.0,4360.0,2025-04-15
44,India,Water bottles,Plastic Sipper,2,991.0,1982.0,2024-06-06
45,India,Water bottles,Thermo Flask,5,885.0,4425.0,2024-09-21
46,India,Perfumes,Amber Spice,4,652.0,2608.0,2024-07-31
47,India,Jeans,Relaxed Fit,1,1000.0,1000.0,2025-03-23
48,India,TShirts,Full Sleeve,4,1114.0,4456.0,2024-12-26
49,India,Smart Phone,iSmart X,2,917.0,1834.0,2025-05-16
50,India,Jeans,Slim Fit,3,1159.0,3477.0,2024-08-30
51,India,Water bottles,Copper Bottle,4,559.0,2236.0,2024-07-10
52,India,Perfumes,Lavender Calm,1,855.0,855.0,2024-10-27
53,India,TShirts,Round Neck,2,673.0,1346.0,2025-03-12
54,India,Water bottles,Sport Bottle,2,769.0,1538.0,2025-01-11
55,India,Shoes,Sneakers,5,929.0,4645.0,2025-01-26
56,India,Shoes,Formal Shoes,2,662.0,1324.0,2024-09-24
57,India,Shoes,Casual Shoes,1,654.0,654.0,2025-05-07
58,India,Water bottles,Plastic Sipper,2,651.0,1302.0,2025-01-16
59,India,Jeans,Slim Fit,2,586.0,1172.0,2024-08-20
60,India,Jeans,Relaxed Fit,2,775.0,1550.0,2024-10-22
61,India,Perfumes,Lavender Calm,2,825.0,1650.0,2024-12-08
62,India,Jeans,Bootcut,3,690.0,2070.0,2024-12-28
63,India,Smart Phone,Pixel Max,3,1021.0,3063.0,2024-06-15
64,India,Shoes,Formal Shoes,5,706.0,3530.0,2025-04-17
65,India,Smart Phone,iSmart X,5,501.0,2505.0,2024-12-30
66,India,Water bottles,Plastic Sipper,3,1008.0,3024.0,2024-07-10
67,India,TShirts,V-Neck,5,749.0,3745.0,2024-07-11
68,India,Shoes,Sneakers,4,1068.0,4272.0,2025-01-30
69,India,Smart Phone,Pixel Max,1,1197.0,1197.0,2024-07-24
70,India,Water bottles,Thermo Flask,1,1059.0,1059.0,2025-01-03
71,India,Smart Phone,Galaxy S,1,1009.0,1009.0,2024-06-24
72,India,TShirts,Round Neck,2,1165.0,2330.0,2024-08-27
73,India,Perfumes,Oud Royale,5,742.0,3710.0,2025-04-22
74,India,Perfumes,,3,1091.0,3273.0,2025-01-26
75,India,Perfumes,Citrus Splash,1,547.0,547.0,2025-02-14
76,India,Shoes,Sandals,1,576.0,576.0,2025-02-14
77,India,Smart Phone,Android Pro,4,1003.0,4012.0,2024-12-31
78,India,Jeans,Regular Fit,4,561.0,2244.0,2024-12-10
79,India,Jeans,Bootcut,4,558.0,2232.0,2024-09-06
80,India,Smart Phone,Android Pro,5,1176.0,5880.0,2025-02-25
81,India,Smart Phone,Galaxy S,5,1019.0,5095.0,2024-09-23
82,India,TShirts,Round Neck,4,505.0,2020.0,2025-04-08
83,India,Perfumes,Ocean Breeze,2,710.0,1420.0,2024-05-23
84,India,Smart Phone,Pixel Max,2,965.0,1930.0,2024-11-07
85,India,Perfumes,Amber Spice,5,1057.0,5285.0,2024-06-10
86,India,TShirts,Sleeveless,5,664.0,3320.0,2024-07-21
87,India,Perfumes,Oud Royale,5,748.0,3740.0,2025-04-24
88,India,Jeans,Regular Fit,1,976.0,976.0,2025-03-18
89,India,Water bottles,Copper Bottle,1,915.0,915.0,2024-09-22
90,India,Perfumes,Lavender Calm,1,763.0,763.0,2024-07-04
91,India,Smart Phone,Galaxy S,3,1171.0,3513.0,2025-01-18
92,India,Water bottles,Copper Bottle,2,684.0,1368.0,2025-02-15
93,India,Jeans,Regular Fit,2,898.0,1796.0,2024-06-15
94,India,TShirts,Sleeveless,5,1179.0,5895.0,2025-01-21
95,India,TShirts,Round Neck,3,1136.0,3408.0,2024-12-19
96,India,Smart Phone,Moto Edge,5,509.0,2545.0,2025-02-09
97,India,Smart Phone,Pixel Max,5,786.0,3930.0,2024-12-18
98,India,Jeans,Slim Fit,1,683.0,683.0,2025-01-16
99,India,Jeans,Slim Fit,1,757.0,757.0,2024-08-03
100,India,Shoes,Sneakers,4,1162.0,4648.0,2025-04-15
101,India,Smart Phone,Moto Edge,4,990.0,3960.0,2024-11-04
102,India,Shoes,Sandals,3,719.0,2157.0,2024-08-20
103,India,Shoes,Casual Shoes,5,1191.0,5955.0,2025-03-29
104,India,Water bottles,Glass Bottle,3,1000.0,3000.0,2024-09-26
105,India,TShirts,V-Neck,4,548.0,2192.0,2025-02-10
106,India,Smart Phone,iSmart X,4,541.0,2164.0,2024-10-06
107,India,Perfumes,Citrus Splash,3,864.0,2592.0,2024-10-24
108,India,TShirts,Sleeveless,2,980.0,1960.0,2024-10-11
109,India,Perfumes,Ocean Breeze,2,655.0,1310.0,2025-02-06
110,India,TShirts,,3,1189.0,3567.0,2024-08-16
111,India,Water bottles,Plastic Sipper,2,921.0,1842.0,2025-01-23
112,India,TShirts,Round Neck,3,525.0,1575.0,2025-02-23
113,India,Shoes,,5,913.0,4565.0,2024-12-15
114,India,TShirts,Polo Tee,2,1086.0,2172.0,2025-02-04
115,India,Shoes,Sandals,2,1197.0,2394.0,2024-08-24
116,India,Jeans,Skinny Jeans,2,1146.0,2292.0,2024-06-06
117,India,Water bottles,Copper Bottle,2,1000.0,2000.0,2024-08-04
118,India,Perfumes,Amber Spice,5,1162.0,5810.0,2025-03-22
119,India,Shoes,Sneakers,3,502.0,1506.0,2025-05-08
120,India,TShirts,Polo Tee,3,855.0,2565.0,2025-04-30
121,India,Jeans,Regular Fit,3,782.0,2346.0,2025-02-05
122,India,Perfumes,Floral Mist,2,597.0,1194.0,2025-02-09
123,India,Smart Phone,Moto Edge,2,1172.0,2344.0,2024-07-15
124,India,Shoes,Sandals,2,1092.0,2184.0,2025-02-28
125,India,Water bottles,Sport Bottle,2,1089.0,2178.0,2024-09-19
126,India,Shoes,Loafers,5,676.0,3380.0,2024-10-06
127,India,Shoes,,1,692.0,692.0,2025-03-31
128,India,Shoes,Sandals,5,1044.0,5220.0,2024-10-22
129,India,Jeans,Bootcut,2,667.0,1334.0,2025-02-21
130,India,Water bottles,Glass Bottle,2,1165.0,2330.0,2024-10-07
131,India,Jeans,Skinny Jeans,1,1018.0,1018.0,2024-07-11
132,India,Water bottles,Steel Flask,5,976.0,4880.0,2024-11-19
133,India,Smart Phone,,2,647.0,1294.0,2025-02-14
134,India,Smart Phone,Android Pro,3,1088.0,3264.0,2024-11-10
135,India,Smart Phone,Android Pro,1,927.0,927.0,2025-01-01
136,India,Water bottles,Steel Flask,4,1197.0,4788.0,2024-09-01
137,India,Shoes,Sandals,4,843.0,3372.0,2024-10-25
138,India,Perfumes,Citrus Splash,2,911.0,1822.0,2024-10-13
139,India,Jeans,Regular Fit,5,638.0,3190.0,2024-09-06
140,India,Water bottles,Plastic Sipper,5,614.0,3070.0,2024-11-14
141,India,Jeans,Tapered,1,1097.0,1097.0,2024-10-25
142,India,Jeans,Skinny Jeans,5,1021.0,5105.0,2025-01-03
143,India,Shoes,Sports Shoes,3,563.0,1689.0,2025-04-15
144,India,Smart Phone,Galaxy S,4,879.0,3516.0,2025-03-11
145,India,TShirts,Round Neck,3,957.0,2871.0,2024-11-27
146,India,Smart Phone,iSmart X,4,891.0,3564.0,2025-04-01
147,India,Water bottles,Steel Flask,2,1112.0,2224.0,2024-10-23
148,India,Shoes,Loafers,3,547.0,1641.0,2025-03-13
149,India,Smart Phone,Galaxy S,3,876.0,2628.0,2024-09-16
