SaleId,Country,Category,Product,Qty,Price,Amount,Sale_Date
1,Japan,Water bottles,Steel Flask,3.0,1721.31,5163.93,2024-08-23
2,Japan,Shoes,Sneakers,3.0,1714.75,5144.25,2025-04-19
3,Japan,Shoes,,5.0,1195.08,5975.4,2025-03-29
4,Japan,Perfumes,Amber Spice,4.0,1122.95,4491.8,2024-12-11
5,Japan,Water bottles,Glass Bottle,1.0,1791.8,1791.8,2025-02-13
6,Japan,Perfumes,,5.0,1311.48,6557.4,2024-07-06
7,Japan,Smart Phone,iSmart X,5.0,1598.36,7991.8,2024-10-14
8,Japan,Shoes,Sports Shoes,4.0,1272.13,5088.52,2024-07-25
9,Japan,Jeans,Relaxed Fit,4.0,1560.66,6242.64,2025-01-20
10,Japan,Jeans,Regular Fit,5.0,1857.38,9286.9,2025-01-04
11,Japan,Water bottles,Thermo Flask,1.0,1103.28,1103.28,2024-08-18
12,Japan,Shoes,Casual Shoes,2.0,1621.31,3242.62,2024-08-09
13,Japan,Perfumes,Ocean Breeze,4.0,1098.36,4393.44,2025-03-17
14,Japan,Water bottles,Glass Bottle,3.0,1618.03,4854.09,2024-05-31
15,Japan,Jeans,Slim Fit,1.0,1568.85,1568.85,2025-03-24
16,Japan,Jeans,Relaxed Fit,3.0,932.79,2798.37,2024-10-05
17,Japan,Shoes,Loafers,2.0,1754.1,3508.2,2024-07-17
18,Japan,Jeans,,3.0,1621.31,4863.93,2024-07-31
19,Japan,Jeans,Regular Fit,5.0,1809.84,9049.2,2024-11-06
20,Japan,TShirts,Sleeveless,5.0,1873.77,9368.85,2024-12-16
21,Japan,Perfumes,Ocean Breeze,4.0,895.08,3580.32,2025-05-10
22,Japan,TShirts,Polo Tee,4.0,939.34,3757.36,2024-08-31
23,Japan,Water bottles,Steel Flask,5.0,1629.51,8147.55,2024-09-07
24,Japan,TShirts,Sleeveless,1.0,1408.2,1408.2,2024-10-20
25,Japan,Jeans,Regular Fit,4.0,1700.0,6800.0,2025-01-22
26,Japan,Jeans,Slim Fit,2.0,1640.98,3281.96,2024-08-17
27,Japan,Shoes,Sports Shoes,3.0,1219.67,3659.01,2025-05-06
28,Japan,Shoes,Formal Shoes,1.0,885.25,885.25,2024-05-23
29,Japan,Water bottles,Copper Bottle,4.0,1560.66,6242.64,2025-02-11
30,Japan,Shoes,Loafers,5.0,1314.75,6573.75,2025-02-04
31,Japan,Jeans,Slim Fit,4.0,1027.87,4111.48,2024-09-27
32,Japan,TShirts,Sleeveless,2.0,1377.05,2754.1,2025-01-22
33,Japan,Shoes,Casual Shoes,1.0,1750.82,1750.82,2024-11-02
34,Japan,Smart Phone,,3.0,1757.38,5272.14,2024-07-22
35,Japan,Perfumes,Ocean Breeze,5.0,844.26,4221.3,2024-06-17
36,Japan,Smart Phone,Galaxy S,3.0,1367.21,4101.63,2024-06-18
37,Japan,Perfumes,Ocean Breeze,1.0,1249.18,1249.18,2024-09-09
38,Japan,Smart Phone,Android Pro,3.0,1704.92,5114.76,2025-01-16
39,Japan,Water bottles,Plastic Sipper,4.0,1042.62,4170.48,2025-03-27
40,Japan,Shoes,Sandals,3.0,1162.3,3486.9,2024-09-03
41,Japan,Smart Phone,Moto Edge,3.0,1454.1,4362.3,2024-09-07
42,Japan,Shoes,Formal Shoes,,870.49,,2024-11-13
43,Japan,TShirts,Polo Tee,3.0,1578.69,4736.07,2025-02-12
44,Japan,Smart Phone,Pixel Max,,873.77,,2025-02-21
45,Japan,Water bottles,Copper Bottle,2.0,1742.62,3485.24,2025-01-03
46,Japan,Jeans,Slim Fit,5.0,1632.79,8163.95,2025-04-14
47,Japan,Water bottles,Thermo Flask,1.0,1963.93,1963.93,2025-04-21
48,Japan,Jeans,Skinny Jeans,,875.41,,2025-01-28
49,Japan,Smart Phone,OnePlus Neo,1.0,890.16,890.16,2025-04-21
50,Japan,Water bottles,Plastic Sipper,2.0,908.2,1816.4,2025-03-06
51,Japan,Shoes,Sports Shoes,1.0,1840.98,1840.98,2024-11-09
52,Japan,Smart Phone,,2.0,1745.9,3491.8,2025-03-30
53,Japan,Jeans,Tapered,2.0,1654.1,3308.2,2025-04-26
54,Japan,Perfumes,Ocean Breeze,5.0,1893.44,9467.2,2024-11-11
55,Japan,Jeans,Slim Fit,2.0,1181.97,2363.94,2024-09-12
56,Japan,Jeans,Relaxed Fit,4.0,983.61,3934.44,2024-11-02
57,Japan,Shoes,Loafers,5.0,822.95,4114.75,2025-03-06
58,Japan,Water bottles,Glass Bottle,5.0,1201.64,6008.2,2025-03-18
59,Japan,Jeans,Skinny Jeans,1.0,1334.43,1334.43,2024-12-29
60,Japan,TShirts,Polo Tee,5.0,1063.93,5319.65,2025-02-13
61,Japan,Shoes,Loafers,3.0,1013.11,3039.33,2025-02-26
62,Japan,TShirts,Polo Tee,5.0,1067.21,5336.05,2024-12-03
63,Japan,Jeans,Tapered,4.0,1590.16,6360.64,2025-03-18
64,Japan,Perfumes,Amber Spice,5.0,1529.51,7647.55,2025-04-24
65,Japan,Perfumes,Floral Mist,3.0,1465.57,4396.71,2024-12-24
66,Japan,Shoes,Formal Shoes,2.0,1762.3,3524.6,2024-10-03
67,Japan,Water bottles,Sport Bottle,,1452.46,,2025-01-17
68,Japan,TShirts,Round Neck,3.0,1478.69,4436.07,2024-08-28
69,Japan,Shoes,Sandals,2.0,1440.98,2881.96,2025-05-15
70,Japan,Shoes,Sports Shoes,5.0,1262.3,6311.5,2024-11-04
71,Japan,Perfumes,Oud Royale,4.0,1208.2,4832.8,2024-06-30
72,Japan,Shoes,Sports Shoes,1.0,1386.89,1386.89,2025-03-26
73,Japan,Jeans,Relaxed Fit,2.0,1840.98,3681.96,2025-01-10
74,Japan,Shoes,Sandals,2.0,1737.7,3475.4,2024-09-09
75,Japan,Smart Phone,OnePlus Neo,3.0,1442.62,4327.86,2024-06-02
76,Japan,Shoes,Sandals,3.0,1168.85,3506.55,2025-02-16
77,Japan,Jeans,Tapered,1.0,1373.77,1373.77,2024-11-10
78,Japan,Water bottles,Thermo Flask,2.0,1193.44,2386.88,2024-06-15
79,Japan,Shoes,Loafers,2.0,1585.25,3170.5,2024-11-26
80,Japan,Jeans,Regular Fit,1.0,1024.59,1024.59,2025-02-05
81,Japan,Shoes,Casual Shoes,2.0,1155.74,2311.48,2024-10-24
82,Japan,TShirts,Printed Tee,1.0,1349.18,1349.18,2024-08-11
83,Japan,TShirts,Polo Tee,2.0,1577.05,3154.1,2024-12-21
84,Japan,TShirts,Printed Tee,3.0,998.36,2995.08,2024-07-28
85,Japan,Smart Phone,Moto Edge,5.0,1700.0,8500.0,2025-03-02
86,Japan,Shoes,Sneakers,3.0,1781.97,5345.91,2024-09-21
87,Japan,TShirts,Printed Tee,5.0,1326.23,6631.15,2024-10-13
88,Japan,Perfumes,Amber Spice,2.0,1452.46,2904.92,2025-01-15
89,Japan,Perfumes,Ocean Breeze,2.0,1473.77,2947.54,2024-09-27
90,Japan,Perfumes,Citrus Splash,4.0,1201.64,4806.56,2024-10-03
91,Japan,Smart Phone,Pixel Max,3.0,1706.56,5119.68,2025-01-19
92,Japan,Smart Phone,Moto Edge,3.0,1727.87,5183.61,2024-10-12
93,Japan,Perfumes,Ocean Breeze,1.0,1016.39,1016.39,2025-05-03
94,Japan,Jeans,Regular Fit,1.0,1449.18,1449.18,2025-05-20
95,Japan,Water bottles,Sport Bottle,2.0,1557.38,3114.76,2024-07-25
96,Japan,Shoes,Casual Shoes,4.0,906.56,3626.24,2024-12-30
97,Japan,Perfumes,Ocean Breeze,4.0,1280.33,5121.32,2025-05-05
98,Japan,Shoes,Formal Shoes,3.0,1419.67,4259.01,2024-10-23
99,Japan,TShirts,Polo Tee,5.0,847.54,4237.7,2025-03-05
100,Japan,Shoes,Formal Shoes,3.0,1601.64,4804.92,2024-10-18
101,Japan,Jeans,Relaxed Fit,3.0,929.51,2788.53,2025-05-11
102,Japan,Perfumes,Amber Spice,5.0,1172.13,5860.65,2025-01-17
103,Japan,Jeans,Relaxed Fit,,1160.66,,2024-09-15
104,Japan,Smart Phone,iSmart X,3.0,1109.84,3329.52,2025-03-16
105,Japan,Shoes,Sandals,3.0,1129.51,3388.53,2024-11-07
106,Japan,Jeans,Regular Fit,1.0,1344.26,1344.26,2024-11-23
107,Japan,TShirts,Round Neck,2.0,952.46,1904.92,2024-08-25
108,Japan,Perfumes,Amber Spice,5.0,1559.02,7795.1,2024-08-22
109,Japan,Jeans,Regular Fit,1.0,1449.18,1449.18,2025-01-28
110,Japan,Smart Phone,Pixel Max,5.0,1814.75,9073.75,2024-08-18
111,Japan,Shoes,Casual Shoes,4.0,862.3,3449.2,2024-10-11
112,Japan,Water bottles,Thermo Flask,2.0,1475.41,2950.82,2024-06-05
113,Japan,Perfumes,Citrus Splash,3.0,1681.97,5045.91,2024-08-14
114,Japan,Water bottles,Glass Bottle,4.0,1750.82,7003.28,2024-10-19
115,Japan,Shoes,Sneakers,5.0,1819.67,9098.35,2025-03-27
116,Japan,Smart Phone,Galaxy S,1.0,1055.74,1055.74,2024-07-09
117,Japan,Smart Phone,Android Pro,4.0,1090.16,4360.64,2025-04-24
118,Japan,Jeans,Regular Fit,2.0,1437.7,2875.4,2024-11-20
119,Japan,Water bottles,Plastic Sipper,2.0,842.62,1685.24,2025-05-08
120,Japan,Perfumes,Oud Royale,1.0,1804.92,1804.92,2024-09-14
121,Japan,Smart Phone,Galaxy S,5.0,1844.26,9221.3,2025-02-01
122,Japan,TShirts,Polo Tee,5.0,1619.67,8098.35,2024-10-30
123,Japan,Smart Phone,Galaxy S,5.0,1208.2,6041.0,2024-07-10
124,Japan,Shoes,Loafers,1.0,1140.98,1140.98,2025-04-14
125,Japan,TShirts,V-Neck,5.0,1119.67,5598.35,2024-12-27
126,Japan,Perfumes,Citrus Splash,2.0,936.07,1872.14,2025-02-02
127,Japan,Jeans,Bootcut,4.0,1657.38,6629.52,2025-01-12
128,Japan,TShirts,Polo Tee,5.0,1113.11,5565.55,2024-09-30
129,Japan,Smart Phone,Galaxy S,5.0,963.93,4819.65,2024-06-02
130,Japan,Smart Phone,OnePlus Neo,,1965.57,,2024-09-15
131,Japan,Perfumes,,5.0,1493.44,7467.2,2025-02-15
132,Japan,TShirts,V-Neck,3.0,1139.34,3418.02,2025-01-06
133,Japan,TShirts,Sleeveless,2.0,1491.8,2983.6,2024-06-12
134,Japan,Jeans,Skinny Jeans,5.0,1140.98,5704.9,2025-01-18
135,Japan,Shoes,Loafers,4.0,1532.79,6131.16,2024-12-23
136,Japan,Perfumes,Oud Royale,3.0,1859.02,5577.06,2024-09-30
137,Japan,Perfumes,Ocean Breeze,,1165.57,,2025-03-20
138,Japan,Jeans,Regular Fit,1.0,1472.13,1472.13,2024-07-13
139,Japan,Jeans,Skinny Jeans,1.0,1370.49,1370.49,2025-03-24
140,Japan,Jeans,Bootcut,4.0,1444.26,5777.04,2024-06-18
141,Japan,Shoes,Formal Shoes,5.0,1163.93,5819.65,2025-02-16
142,Japan,Smart Phone,Pixel Max,4.0,1726.23,6904.92,2025-03-29
143,Japan,Shoes,Sports Shoes,1.0,932.79,932.79,2025-03-20
144,Japan,Water bottles,Copper Bottle,4.0,913.11,3652.44,2024-08-12
145,Japan,TShirts,V-Neck,1.0,1960.66,1960.66,2024-12-01
146,Japan,Shoes,Casual Shoes,2.0,1124.59,2249.18,2025-01-21
147,Japan,TShirts,Printed Tee,2.0,1631.15,3262.3,2024-12-29
148,Japan,Perfumes,Amber Spice,3.0,913.11,2739.33,2024-06-04
149,Japan,Shoes,Sports Shoes,5.0,1485.25,7426.25,2025-02-06
150,Japan,Smart Phone,Pixel Max,3.0,1306.56,3919.68,2025-05-21
151,Japan,Perfumes,Floral Mist,,1593.44,,2024-12-20
152,Japan,Jeans,Skinny Jeans,1.0,1522.95,1522.95,2025-05-09
153,Japan,Jeans,Bootcut,3.0,931.15,2793.45,2025-02-07
154,Japan,Jeans,Slim Fit,1.0,1075.41,1075.41,2024-10-31
155,Japan,Smart Phone,,1.0,1267.21,1267.21,2025-01-18
156,Japan,Water bottles,Sport Bottle,3.0,863.93,2591.79,2024-11-16
157,Japan,TShirts,Full Sleeve,4.0,1762.3,7049.2,2024-08-13
158,Japan,Shoes,Casual Shoes,5.0,1226.23,6131.15,2024-10-30
159,Japan,Jeans,Regular Fit,5.0,1800.0,9000.0,2024-08-05
160,Japan,Water bottles,Copper Bottle,4.0,1318.03,5272.12,2024-12-21
161,Japan,Water bottles,Glass Bottle,4.0,885.25,3541.0,2025-05-03
162,Japan,Shoes,Formal Shoes,3.0,918.03,2754.09,2024-10-23
163,Japan,TShirts,,1.0,1534.43,1534.43,2024-10-12
164,Japan,Water bottles,Copper Bottle,2.0,1493.44,2986.88,2024-10-13
