SaleId,Country,Category,Product,Qty,Price,Amount,Sale_Date
1,Oman,Shoes,Formal Shoes,5.0,3.29,16.45,2025-05-17
2,Oman,Jeans,,1.0,4.28,4.28,2024-11-18
3,Oman,TShirts,Full Sleeve,,2.96,,2024-08-13
4,Oman,Water bottles,,5.0,3.32,16.6,2024-09-03
5,Oman,Perfumes,Citrus Splash,3.0,3.67,11.01,2024-10-22
6,Oman,Perfumes,Ocean Breeze,4.0,3.06,12.24,2025-01-17
7,Oman,TShirts,Full Sleeve,5.0,5.54,27.7,2025-03-13
8,Oman,Water bottles,Glass Bottle,1.0,3.95,3.95,2025-04-23
9,Oman,Shoes,Sneakers,1.0,4.43,4.43,2024-10-05
10,Oman,Smart Phone,Galaxy S,2.0,3.15,6.3,2024-08-21
11,Oman,Water bottles,Copper Bottle,2.0,5.54,11.08,2024-11-04
12,Oman,Perfumes,Citrus Splash,1.0,5.03,5.03,2024-06-10
13,Oman,Shoes,Sneakers,4.0,3.85,15.4,2025-01-10
14,Oman,Perfumes,Citrus Splash,3.0,3.42,10.26,2025-02-14
15,Oman,Perfumes,Oud Royale,2.0,3.34,6.68,2024-11-26
16,Oman,Shoes,Loafers,,2.96,,2025-02-21
17,Oman,Smart Phone,Pixel Max,4.0,3.72,14.88,2024-10-07
18,Oman,Jeans,Relaxed Fit,1.0,4.4,4.4,2024-05-22
19,Oman,Perfumes,Lavender Calm,5.0,2.46,12.3,2025-01-09
20,Oman,Smart Phone,Pixel Max,1.0,5.31,5.31,2025-02-18
21,Oman,Water bottles,Thermo Flask,2.0,5.14,10.28,2024-12-28
22,Oman,Water bottles,Glass Bottle,5.0,4.07,20.35,2024-10-10
23,Oman,TShirts,Full Sleeve,2.0,4.85,9.7,2024-12-14
24,Oman,Smart Phone,Galaxy S,1.0,4.07,4.07,2024-11-02
25,Oman,Water bottles,Glass Bottle,1.0,4.85,4.85,2025-03-14
26,Oman,Water bottles,Thermo Flask,4.0,3.09,12.36,2025-01-30
27,Oman,Shoes,Sneakers,2.0,3.77,7.54,2024-12-11
28,Oman,Jeans,Tapered,2.0,4.32,8.64,2024-06-06
29,Oman,TShirts,Round Neck,3.0,2.35,7.05,2024-07-21
30,Oman,TShirts,Full Sleeve,2.0,4.09,8.18,2025-02-25
31,Oman,Shoes,Sandals,4.0,2.87,11.48,2025-02-02
32,Oman,Perfumes,Ocean Breeze,3.0,3.62,10.86,2025-04-19
33,Oman,Water bottles,Glass Bottle,3.0,2.55,7.65,2025-01-20
34,Oman,TShirts,Sleeveless,3.0,3.33,9.99,2025-01-26
35,Oman,Water bottles,Sport Bottle,5.0,5.4,27.0,2025-03-29
36,Oman,Perfumes,Ocean Breeze,1.0,3.56,3.56,2025-02-20
37,Oman,Jeans,Regular Fit,1.0,3.62,3.62,2025-03-12
38,Oman,Perfumes,Amber Spice,3.0,4.01,12.03,2024-09-02
39,Oman,Water bottles,Plastic Sipper,2.0,2.55,5.1,2025-03-13
40,Oman,Smart Phone,Moto Edge,3.0,4.3,12.9,2025-02-08
41,Oman,Perfumes,Citrus Splash,3.0,2.37,7.11,2025-01-25
42,Oman,TShirts,V-Neck,1.0,4.21,4.21,2025-02-01
43,Oman,Perfumes,Oud Royale,2.0,5.1,10.2,2025-01-09
44,Oman,Perfumes,Lavender Calm,4.0,3.14,12.56,2024-05-31
45,Oman,Perfumes,Ocean Breeze,2.0,4.45,8.9,2024-07-22
46,Oman,Perfumes,Lavender Calm,5.0,5.35,26.75,2025-03-14
47,Oman,Jeans,Skinny Jeans,2.0,4.72,9.44,2025-01-11
48,Oman,Jeans,Bootcut,1.0,4.89,4.89,2024-09-05
49,Oman,TShirts,Full Sleeve,1.0,4.85,4.85,2024-12-17
50,Oman,Water bottles,Sport Bottle,5.0,2.92,14.6,2025-05-09
51,Oman,TShirts,V-Neck,2.0,4.18,8.36,2024-05-23
52,Oman,Perfumes,Ocean Breeze,1.0,3.36,3.36,2025-05-04
53,Oman,Perfumes,Oud Royale,2.0,4.02,8.04,2024-10-16
54,Oman,Water bottles,Sport Bottle,3.0,4.25,12.75,2025-01-16
55,Oman,Jeans,Regular Fit,4.0,3.45,13.8,2025-02-15
56,Oman,Water bottles,Steel Flask,4.0,3.59,14.36,2024-11-01
57,Oman,Smart Phone,Moto Edge,3.0,4.76,14.28,2024-11-23
58,Oman,TShirts,V-Neck,1.0,4.98,4.98,2024-07-24
59,Oman,Perfumes,Lavender Calm,3.0,2.43,7.29,2025-04-16
60,Oman,Smart Phone,OnePlus Neo,5.0,5.11,25.55,2025-02-17
61,Oman,Perfumes,Oud Royale,1.0,3.12,3.12,2024-07-04
62,Oman,Smart Phone,Galaxy S,1.0,3.61,3.61,2025-01-13
63,Oman,TShirts,Sleeveless,5.0,4.64,23.2,2024-11-13
64,Oman,Shoes,Sneakers,2.0,2.46,4.92,2024-05-22
65,Oman,TShirts,Printed Tee,1.0,3.07,3.07,2024-12-16
66,Oman,Jeans,Regular Fit,2.0,5.11,10.22,2024-11-09
