SaleId,Country,Category,Product,Qty,Price,Amount,Sale_Date
1,Qatar,Shoes,Sneakers,5.0,23.96,119.8,2025-02-02
2,Qatar,Water bottles,Steel Flask,1.0,50.81,50.81,2025-04-30
3,Qatar,Jeans,Tapered,2.0,39.18,78.36,2025-04-09
4,Qatar,Smart Phone,Galaxy S,3.0,39.48,118.44,2024-11-04
5,Qatar,Perfumes,Oud Royale,2.0,47.18,94.36,2024-08-13
6,Qatar,Shoes,,2.0,43.51,87.02,2024-09-12
7,Qatar,Jeans,Regular Fit,4.0,22.04,88.16,2024-05-29
8,Qatar,Smart Phone,Galaxy S,2.0,25.05,50.1,2024-09-09
9,Qatar,Water bottles,Glass Bottle,5.0,33.23,166.15,2024-07-27
10,Qatar,Smart Phone,,3.0,45.43,136.29,2024-09-20
11,Qatar,TShirts,Full Sleeve,2.0,37.69,75.38,2025-03-28
12,Qatar,Smart Phone,Android Pro,4.0,37.78,151.12,2024-06-29
13,Qatar,Shoes,Sneakers,3.0,49.8,149.4,2025-05-02
14,Qatar,Water bottles,Thermo Flask,5.0,28.51,142.55,2025-01-01
15,Qatar,Water bottles,Sport Bottle,1.0,41.41,41.41,2024-09-05
16,Qatar,Perfumes,Amber Spice,2.0,32.49,64.98,2025-02-26
17,Qatar,Smart Phone,Android Pro,5.0,26.45,132.25,2024-06-06
18,Qatar,Shoes,Formal Shoes,5.0,47.49,237.45,2024-08-25
19,Qatar,Water bottles,Sport Bottle,3.0,44.25,132.75,2025-03-16
20,Qatar,Shoes,,4.0,27.42,109.68,2025-04-15
21,Qatar,Perfumes,Floral Mist,3.0,24.44,73.32,2025-01-16
22,Qatar,Water bottles,Thermo Flask,1.0,47.44,47.44,2025-04-02
23,Qatar,Jeans,Slim Fit,5.0,42.94,214.7,2024-06-26
24,Qatar,Perfumes,,2.0,38.17,76.34,2025-04-21
25,Qatar,Perfumes,Ocean Breeze,2.0,43.9,87.8,2025-04-14
26,Qatar,TShirts,Polo Tee,4.0,44.73,178.92,2024-08-17
